"pais_origen","pais_destino","destino_zip","origen_compound","precio_full_truck_eur","dias_full_truck","precio_passenger_car_eur","precio_suv_eur","precio_lcv1_eur","precio_lcv2_eur","dias_single_cars","tipo_transporte","fuente_archivo"
"Sweden","Spain","8902","Kareby","98700","24","16400","21500","32600","48700","24","Automatic door delivery","ViewDeliveryPriceList (9).xlsx"
"Sweden","Spain","8902","Malmö","89800","24","15000","19500","29700","44500","24","Automatic door delivery","ViewDeliveryPriceList (9).xlsx"
"Sweden","Spain","8902","Strängnäs","105300","24","17500","23000","34700","51800","24","Automatic door delivery","ViewDeliveryPriceList (9).xlsx"
"Sweden","Spain","8902","Umeå","129000","29","21500","27000","40700","57800","29","Automatic door delivery","ViewDeliveryPriceList (9).xlsx"
"Denmark","Spain","8902","BCA Vejle","7200","19","1200","1560","2400","3600","19","Automatic door delivery","ViewDeliveryPriceList (2).xlsx"
"France","Spain","8902","2L Rhône-Alpes","0","24","890","1115","1820","1820","22","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","BCA AUNAY","0","24","899","1127","1811","1811","22","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","BCA Bouchain","0","24","622","779","1244","1244","15","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","BCA Corbas","0","24","584","740","1169","1169","15","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","BCA Garons","0","24","545","701","1090","1090","15","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","BCA HOUECOURT","0","24","701","857","1401","1401","15","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","BCA Ingrandes","0","24","545","701","1090","1090","15","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","BCA Lauterbourg","0","24","701","857","1401","1401","15","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","BCA LE MEUX","0","24","622","779","1244","1244","15","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","BCA LENS","0","24","731","914","1476","1476","15","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","BCA Mitry Mory","0","24","584","740","1169","1169","15","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","BCA MONTMARTIN","0","24","584","740","1169","1169","15","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","BCA Nantes","0","24","622","779","1244","1244","15","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","BCA NANTEUIL","0","24","899","1127","1811","1811","22","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","BCA TOULOUSE","0","24","467","622","934","934","15","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","BCA Vitrolles","0","24","545","701","1090","1090","15","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","BLYES (CEVA BLYES )","0","24","890","1115","1820","1820","22","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","CHILLY MAZARIN (ALPHABET/ALPHABET 2)","0","24","899","1127","1811","1811","22","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","GEFCO VILLENEUVE","0","24","899","1127","1811","1811","22","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"France","Spain","8902","Transports SATAS","0","24","955","1201","1941","1941","22","On demand door delivery","ViewDeliveryPriceList (4).xlsx"
"Spain","Spain","8902","BCA  Culleredo (A Coruña)","2087","5","348","416","623","","7","On demand door delivery","ViewDeliveryPriceList (8).xlsx"
"Spain","Spain","8902","BCA Alicante","1205","5","215","259","386","","7","On demand door delivery","ViewDeliveryPriceList (8).xlsx"
"Spain","Spain","8902","BCA Azuqueca (Madrid)","1205","4","222","266","397","","7","On demand door delivery","ViewDeliveryPriceList (8).xlsx"
"Spain","Spain","8902","BCA Sevilla","1562","5","354","424","635","","9","On demand door delivery","ViewDeliveryPriceList (8).xlsx"
"Spain","Spain","8902","BCA Tarragona","634","2","70","84","125","","3","On demand door delivery","ViewDeliveryPriceList (8).xlsx"
"Spain","Spain","8902","HFP Barcelona","633","2","71","85","126","","3","On demand door delivery","ViewDeliveryPriceList (8).xlsx"
"Spain","Spain","8902","HFP Madrid","1205","4","221","265","397","","7","On demand door delivery","ViewDeliveryPriceList (8).xlsx"
"Spain","Spain","8902","HFP Valencia","1205","5","215","258","385","","7","On demand door delivery","ViewDeliveryPriceList (8).xlsx"
"Austria","Spain","8902","Lagermax (AT) Straßwalchen","3600","15","720","935","1440","0","15","Automatic door delivery","ViewDeliveryPriceList.xlsx"
"Finland","Spain","8902","BCA FINLAND","7200","31","1200","1560","2400","3600","31","Automatic door delivery","ViewDeliveryPriceList (3).xlsx"
"Netherlands","Spain","8902","Weeze","4638","28","773","1005","1545","2704","28","On demand door delivery","ViewDeliveryPriceList (7).xlsx"
"Netherlands","Spain","8902","Breda","4638","28","773","1005","1545","2704","28","On demand door delivery","ViewDeliveryPriceList (7).xlsx"

